"","evNum","band_diff_17to23_dB","band_diff_23to42_dB","n_dets"
"1","9",8.09770878616533,-6.95588243018537,467
"2","10",10.4118291128482,-3.4362969692624,344
"3","18",12.5594830770252,-4.24914859712555,111
"4","31",12.9385851818106,-8.40602795919185,126
"5","54",12.1324101220554,-0.354173275849831,170
"6","62",11.4947614104773,1.84504924952853,130
"7","69",10.2464481069375,-2.60156357390721,531
"8","70",7.74132716546083,-3.2721266231693,983
"9","86",6.92898157319692,-1.56662988253223,599
"10","88",7.94652044523221,-6.99074620261158,95
"11","90",1.92360593415381,-5.56461258973215,116
"12","97",16.8214918860235,3.7600325763392,111
"13","99",16.1141141504469,0.61041400099046,445
"14","105",3.40675730970406,-0.11610611788285,161
"15","113",14.2339547611206,0.287455933180922,298
"16","116",3.31494306050615,-1.82504612016422,120
"17","124",8.02907955501084,-1.77881064219372,65
"18","127",4.96727117736253,-6.84916366885901,315
"19","128",13.1845838725888,-8.7753451218905,572
"20","133",16.3834865086528,1.094941771056,111
"21","137",11.7438213086157,0.803449505564288,135
"22","145",9.80353114444452,2.4591884190547,289
"23","153",11.4437936211717,-5.45913802848057,129
"24","158",7.45005828878698,0.937605562088009,450
"25","168",7.33424600555074,-7.37033204440272,164
"26","173",3.29531909604376,-2.65281271891004,334
"27","175",15.1990562806714,-0.412589334839453,473
"28","178",16.1479368394468,2.13476828184398,592
"29","192",4.5927054961646,-5.33919372281204,146
"30","194",4.34378849439412,-7.51625208451122,347
"31","207",5.76958985416951,-6.86160555175755,536
"32","214",15.6820235816415,3.59613943913465,174
"33","215",17.6347351332562,3.30589490522215,378
"34","224",15.4660679086518,4.66088209405828,154
"35","242",9.90949024463279,-1.53010779732946,622
"36","244",6.9585768643677,-8.0854412799591,123
"37","247",12.2616798001948,-9.66415027813989,695
"38","283",9.16208817793694,-0.431333358835019,365
"39","289",-0.564679700549505,9.14894485089036,691
"40","297",7.96350260116711,1.3698357981124,174
