freq_Hz,avSpec_dB
281.25,125.1782519
562.5,128.8210714
843.75,137.3435532
1125,143.677675
1406.25,146.5225064
1687.5,146.9465065
1968.75,146.1237823
2250,144.5974114
2531.25,143.1946825
2812.5,142.9853374
3093.75,144.0228462
3375,144.2948852
3656.25,144.2879199
3937.5,144.5464331
4218.75,144.6456218
4500,144.3414982
4781.25,143.5657279
5062.5,142.7037161
5343.75,142.1333169
5625,141.9018522
5906.25,141.5874322
6187.5,141.2609328
6468.75,140.9539798
6750,140.5083259
7031.25,140.2114136
7312.5,140.0299353
7593.75,139.7190266
7875,139.1658942
8156.25,138.5848432
8437.5,138.1088266
8718.75,137.6291365
9000,137.1688176
9281.25,136.6698792
9562.5,136.1447907
9843.75,135.6835625
10125,135.1243728
10406.25,134.6153936
10687.5,134.1788297
10968.75,133.800862
11250,133.4562485
11531.25,133.0317611
11812.5,132.6244469
12093.75,132.3081041
12375,131.9329038
12656.25,131.5508231
12937.5,131.1391312
13218.75,130.7169772
13500,130.3176522
13781.25,129.9212405
14062.5,129.6255439
14343.75,129.3107351
14625,128.8855281
14906.25,128.5678522
15187.5,128.2327126
15468.75,127.9112562
15750,127.6483872
16031.25,127.3400339
16312.5,127.1217055
16593.75,126.9506498
16875,126.8200362
17156.25,126.739787
17437.5,126.7867086
17718.75,126.7839467
18000,127.052902
18281.25,127.4212792
18562.5,127.8216212
18843.75,128.2726604
19125,128.8167056
19406.25,129.4446939
19687.5,130.3043902
19968.75,131.4502715
20250,132.8347056
20531.25,134.3642257
20812.5,135.7870263
21093.75,136.9311503
21375,137.8690415
21656.25,138.4917979
21937.5,138.721727
22218.75,138.5766543
22500,138.2176681
22781.25,137.906002
23062.5,137.6644877
23343.75,137.5767618
23625,137.5254669
23906.25,137.4202309
24187.5,137.2319064
24468.75,136.9196982
24750,136.6511631
25031.25,136.4436035
25312.5,136.4090205
25593.75,136.3002699
25875,136.2798632
26156.25,136.2686749
26437.5,136.2992518
26718.75,136.3759361
27000,136.3751826
27281.25,136.166978
27562.5,136.0033259
27843.75,136.0120866
28125,136.0915166
28406.25,136.0414774
28687.5,135.9246454
28968.75,135.8256321
29250,135.7320822
29531.25,135.6809379
29812.5,135.591894
30093.75,135.5334096
30375,135.5106807
30656.25,135.4784783
30937.5,135.5111221
31218.75,135.5536312
31500,135.4892056
31781.25,135.3640059
32062.5,135.2786239
32343.75,135.3101342
32625,135.3028508
32906.25,135.2748276
33187.5,135.2899072
33468.75,135.191653
33750,135.101727
34031.25,135.019168
34312.5,135.018699
34593.75,134.9446024
34875,134.8855013
35156.25,134.8826777
35437.5,134.8659373
35718.75,134.8023096
36000,134.7148523
36281.25,134.6733727
36562.5,134.6598255
36843.75,134.5870459
37125,134.5885915
37406.25,134.5448373
37687.5,134.4774959
37968.75,134.4675007
38250,134.4670247
38531.25,134.4234456
38812.5,134.3252071
39093.75,134.2905824
39375,134.2341711
39656.25,134.1205697
39937.5,134.0930457
40218.75,134.0407958
40500,134.0350249
40781.25,134.0453811
41062.5,134.0631555
41343.75,134.0916314
41625,134.1450384
41906.25,134.1902877
42187.5,134.1740776
42468.75,134.1593199
42750,134.1208365
43031.25,134.0539079
43312.5,133.9871494
43593.75,133.9023711
43875,133.7992987
44156.25,133.7191439
44437.5,133.6417137
44718.75,133.5701808
45000,133.459302
45281.25,133.3805758
45562.5,133.3033064
45843.75,133.207311
46125,133.0868264
46406.25,132.9823352
46687.5,132.8925233
46968.75,132.8267083
47250,132.7653018
47531.25,132.6572568
47812.5,132.5492127
48093.75,132.4057538
48375,132.2977899
48656.25,132.1545336
48937.5,132.0369467
49218.75,131.8853104
49500,131.6939469
49781.25,131.5790912
50062.5,131.4629207
50343.75,131.3188221
50625,131.1933345
50906.25,131.1188597
51187.5,130.9752459
51468.75,130.8520544
51750,130.7633963
52031.25,130.6522582
52312.5,130.4916117
52593.75,130.3493463
52875,130.1816049
53156.25,130.0047825
53437.5,129.8221586
53718.75,129.6455207
54000,129.4613566
54281.25,129.2808065
54562.5,129.0744096
54843.75,128.8278677
55125,128.6858972
55406.25,128.5196539
55687.5,128.3057427
55968.75,128.0795296
56250,127.8900796
56531.25,127.7096456
56812.5,127.5267456
57093.75,127.3496617
57375,127.1093663
57656.25,126.894381
57937.5,126.7339979
58218.75,126.5629859
58500,126.3774713
58781.25,126.2026464
59062.5,126.0789435
59343.75,125.8258241
59625,125.5768242
59906.25,125.3305632
60187.5,125.0779348
60468.75,124.8338022
60750,124.5561536
61031.25,124.2807871
61312.5,124.0471146
61593.75,123.841814
61875,123.5633023
62156.25,123.3041265
62437.5,122.9752097
62718.75,122.6762729
63000,122.3538086
63281.25,122.0675312
63562.5,121.7079701
63843.75,121.3637452
64125,121.0494411
64406.25,120.6870415
64687.5,120.3231816
64968.75,119.9745994
65250,119.6449899
65531.25,119.3123856
65812.5,118.9165816
66093.75,118.522462
66375,118.1263831
66656.25,117.7404632
66937.5,117.2532643
67218.75,116.811796
67500,116.3591315
67781.25,115.9246628
68062.5,115.4621203
68343.75,115.0681786
68625,114.6126795
68906.25,114.1896845
69187.5,113.7486275
69468.75,113.2751954
69750,112.855192
70031.25,112.4097978
70312.5,111.9835035
70593.75,111.5787808
70875,111.2877403
71156.25,110.9527475
71437.5,110.7301242
71718.75,110.5418939
72000,110.3364699
